idx,title,company,location,time_ago,horari,salary_min_raw,salary_max_raw,job_type,experience,salario_min_anual,salario_max_anual,salario_medio_anual,is_data,is_it_software,is_tech,region,location_normalized,gdp_per_capita,total_remote_jobs,remote_share,premium_salarial_regional,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,ine_tech_avg_2024,regional_multiplier,poblacion_ccaa_2026
88,Master Data Analyst,Tech Data,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
89,Data Engineer (They/He/She),Adsmurai,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
90,Senior Quantitative Analyst,Adecco,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Senior,Cataluna,51556.8,42741.94,1.0741,8208894
91,Finance Data Analyst (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
92,Data analyst - Food Solutions (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
93,Data Analyst - Qcommerce - Sales,Glovo,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
94,Data Engineer,Sanofi,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
95,Mid / Senior Data Analyst - Central Data team,Factorial HR,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
96,Data & Insights Analyst,Nestlé Nespresso SA,"Esplugues de Llobregat, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"esplugues de llobregat, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
97,Data Analyst,Newrest,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
98,Senior Data Analyst,Veepee,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
99,"DATA ANALYST – We have tons of data,what can you do with it ?",Reflex Leads,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
100,Fraud Data Analyst (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
101,Data Analyst - Acquisition (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
102,Senior Global Data Analyst,The Valley Talent,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
103,Crew Data Analyst,Norwegian,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
104,Business Data Analyst for Tax Engine,Amazon,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
105,Data Analyst - Food Innovation,Glovo,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
106,Data Analyst - Talent Team (m/f/d),TIER Mobility,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
107,Data Analyst - Food Innovation (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
108,Data Engineer,Remote,España,hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,,españa,,,,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
109,Senior Data Analyst,Tilting Point,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
110,Business Intelligence Analyst (Barcelona),Rover.com,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
111,JUNIOR DATA ENGINEER,Eurecat - Centro Tecnológico de Catalunya,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Junior,Cataluna,33297.1,42741.94,1.0741,8208894
112,Data Analyst - Q-Commerce - Sales,Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
113,Lead Data Analyst - Crypto,Revolut,España,hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,,españa,,,,,data_analyst,Senior,Total Nacional,49000.0,42741.94,1.0,49570725
114,Senior Data Scientist - Pricing analytics,HP,"Sant Cugat del Vallès, Cataluña, España",hace 1 mes,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Senior,Total Nacional,62500.0,42741.94,1.0,49570725
115,Data Engineer,Accenture España,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
116,Head of Data Analytics (They /She/ He),Glovo,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Director,,,Jornada completa,Director,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
117,Business Intelligence Consultant,Schneider Electric,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
118,Business Intelligence Analyst,Pronovias,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
119,Data Analyst - Delivery Flow Team (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 6 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
120,Software Data Engineer,Aetion,"Barcelona, Cataluña, España",hace 3 horas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
121,Celonis Data Analyst,MediaMarkt Iberia,"El Prat de Llobregat, Cataluña, España",hace 5 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"el prat de llobregat, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
122,Product Data Analyst (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
123,DATA ENGINEER (H/M),Capgemini Engineering,"Barcelona, Cataluña, España",hace 4 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
124,"Customer Engineer,Data Analytics,Google Cloud",Google,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
125,Game Data Analyst (M/F),Madbox,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
126,Data analyst,Sopra Steria,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
127,Senior Data Analyst - BI Team,Veepee,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
128,Data Analyst,Festo España,"Barcelona, Cataluña, España",hace 8 horas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
129,Data Engineer (Madrid o Barcelona),Innova-tsn,Barcelona y alrededores,hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
130,DATA ENGINEER (H/M),Capgemini,"Barcelona, Cataluña, España",hace 6 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
131,Data engineer - MDM,Sanofi,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
132,"Data Analyst,Pricing-ESP",Ingram Micro,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
133,"Strategic Data Analyst,International - Remote",Boats Group,"Barcelona, Cataluña, España",hace 1 mes,Prácticas · Sin experiencia,,,,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
134,Digital Data Engineer,Sanofi,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
135,Intelligence Analyst (Remote),CrowdStrike,"Barcelona, Cataluña, España",hace 5 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
136,Vulnerability Intelligence Analyst (Remote),CrowdStrike,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
137,Junior Data Engineer,Socialpoint,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Junior,Cataluna,33297.1,42741.94,1.0741,8208894
138,Senior Data Analyst - Product,FREE NOW,"Barcelona, Cataluña, España",hace 5 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
139,CRM-Data Analyst,imagin,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
140,(Senior) Data Analyst m/f/d I on-site or remote,BestSecret,España,hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,,españa,,,,,data_analyst,Senior,Total Nacional,49000.0,42741.94,1.0,49570725
141,Data Engineer,AXA Partners,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
142,Data Analyst - Product,FREE NOW,"Barcelona, Cataluña, España",hace 6 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
143,Data Engineer Internship,Zurich Insurance,"Barcelona, Cataluña, España",hace 1 semana,Media jornada · Prácticas,,,Media jornada,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
144,Data Engineer BI,Page Personnel,"Barcelona, Cataluña, España",hace 5 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
145,Data Engineer BI,Page Personnel,"Barcelona, Cataluña, España",hace 4 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
146,Senior Data Analyst,Reloadly,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
147,Biostatistician II,Veristat,"Barcelona, Cataluña, España",hace 4 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,mobile,Mid,Cataluna,41889.9,42741.94,1.0741,8208894
148,Data Analyst,Grupo Planeta,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
149,Digital Marketing Data Analyst/Data Scientist,HP,"Sant Cugat del Vallès, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Total Nacional,42000.0,42741.94,1.0,49570725
150,Business Data Analyst (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
151,Junior Data Analyst,TravelPerk,"Barcelona, Cataluña, España",hace 6 días,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
152,Data Scientist - Insurance / Financial Services Background,Zurich Insurance,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
153,EMEA BI Sr Data Analyst,Ingram Micro,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
154,Senior Data Analyst,Dynatrace,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
155,Data Analyst,AHEAD TECHNOLOGY,España,hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,,españa,,,,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
156,"Senior Data Analyst (Bangkok Based,relocation provided)",Agoda,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
157,Junior Solution Engineer DWH/BI,Zurich Insurance,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Junior,Cataluna,26852.5,42741.94,1.0741,8208894
158,Research Data Scientist,Meta,España,hace 4 horas,Jornada completa,,,Jornada completa,,,,,True,False,True,,españa,,,,,data_scientist,Mid,Total Nacional,42000.0,42741.94,1.0,49570725
159,Data Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
160,Ad Operations Data Analyst,Younited,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
161,Analista Funcional BI,TSD Consulting,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
162,"Data Analyst,Pricing-ESP",Ingram Micro,"Barcelona, Cataluña, España",hace 6 horas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
163,Data Engineer - BI,Glovo,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
164,Data Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
165,Data Engineer,Robert Walters,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
166,Data Governance Analyst - Europe remote,Cimpress,España,hace 3 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,,españa,,,,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
167,People Data Analyst,eDreams ODIGEO,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
168,Data Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
169,Data Engineer,Siemens Energy,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
170,Product Data Analyst (f/m/d),Homelike,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
171,Data Engineer,Amazon,"Barcelona, Cataluña, España",hace 5 días,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
172,Business Intelligence Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
173,Data Engineer,DNV,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
174,Data Engineer,PepsiCo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
175,Data Visualization Engineer,Sanofi,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
176,Credit Intelligence Analyst,Tech Data,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
